#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151A2B84A
#Date Time: 2021-01-28 09:25:43.953
#Sample rate: 2000Hz
#Samples: 16384
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Channel 4: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Power Supplies: ON
#Fixed Supply: ON
#Voltage: 3.3 V Readback: 3.322 V
#Positive Supply: ON
#Voltage: 3.7 V Readback: 3.716 V
#Current: 40 mA Readback: 19 mA
#Negative Supply: ON
#Voltage: -3.7 V Readback: -3.349 V
#Current: -40 mA Readback: -9 mA
#Reference 1: ON
#Voltage: 0 V
#Reference 2: ON
#Voltage: 0 V

Time (s),Channel 1 (V),Channel 2 (V),Channel 4 (V)
-4.096,0.4302208550792003,0.55311515475902,-0.07436953688352363
-4.0955,0.6756348768056779,0.08686306493207691,-0.05320338206184462
-4.095,0.2061471830670788,-0.6337083466202819,-0.05320338206181575
-4.0945,-0.658136980404429,-1.237716735714276,-0.04262030465097626
-4.094,-1.116954499284365,-1.301296566145223,-0.02145414982929725
-4.0935,-0.839529952984607,-0.7608680074812117,-0.01087107241842888
-4.093,-0.3700422592469978,-0.1780528951975329,-0.01087107241842888
-4.0925,0.02475421048690091,0.2776025562242523,-0.01087107241842888
-4.092,0.2808384070717501,0.5425185163539489,-0.021454149829278
-4.0915,0.3982103305061524,0.6484849004055269,-0.021454149829278
-4.091,0.4408910299368829,0.6484849004055269,-0.021454149829278
-4.0905,0.4302208550792003,0.5531151547590103,-0.0214541498292395
-4.09,0.4302208550792003,0.5425185163538525,0.0208781598141185
-4.0895,0.3982103305061524,0.5425185163538525,0.03146123722496762
-4.089,0.3875401556484794,0.3941655786816434,0.03146123722496762
-4.0885,0.3661998059331045,0.2140227257936621,0.03146123722496762
-4.088,0.3661998059331045,0.05507314971615059,0.01029508240326937
-4.0875,0.2701682322140481,0.05507314971615059,-0.000287995007570126
-4.087,-0.3273615598169562,0.1398462569569889,-0.02145414982929725
-4.0865,-1.084943974711735,-0.4111789401112165,-0.04262030465097626
-4.086,-1.778505340460476,-1.068170521231,-0.04262030465097626
-4.0855,-2.130621110764071,-0.941010860369164,-0.0320372272401175
-4.085,-1.51175096901904,-0.474758770542221,-0.021454149829278
-4.0845,-0.743498379266589,-0.1568596183874872,-0.021454149829278
-4.084,-0.1459685872353227,0.03387987290591209,-0.03203722724012713
-4.0835,0.2274875327832301,0.13984625695749,-0.03203722724012713
-4.083,0.408880505363835,0.1928294489833272,-0.03203722724012713
-4.0825,0.4729015545099212,0.2352160026040355,-0.03203722724012713
-4.082,0.4622313796522482,0.2776025562246667,-0.03203722724012713
-4.0815,0.4408910299368829,0.3199891098453364,-0.0637864594726745
-4.081,0.4088805053638641,0.3623756634659676,-0.09553569170519302
-4.0805,0.3982103305061524,0.4047622170866759,-0.106118769116071
-4.08,0.3875401556484697,0.4471487707073456,-0.09553569170522189
-4.0795,0.3875401556484697,0.478938685922819,-0.07436953688354288
-4.079,0.579603303086505,0.2034260873878682,-0.06378645947266487
-4.0785,0.3021787567870086,-0.4853554089473885,-0.05320338206182537
-4.078,-0.5300948821114804,-1.131750351662014,-0.05320338206182537
-4.0775,-1.15963519871528,-1.407262950196454,-0.02145414982926837
-4.077,-0.9035510021311299,-0.8562377531282487,-0.01087107241842888
-4.0765,-0.3700422592474831,-0.2522293640342543,-0.01087107241842888
-4.076,0.0674349099182137,0.2352160026042668,-0.0108710724184385
-4.0755,0.3128489316446912,0.5319218779486851,-0.021454149829278
-4.075,0.4302208550792003,0.6696781772158616,-0.021454149829278
-4.0745,0.4622313796522288,0.6908714540261484,-0.021454149829278
-4.074,0.4408910299368829,0.6378882620003594,-0.021454149829278
-4.0735,0.4622313796522482,0.6060983467848571,-0.000287995007579752
-4.073,0.6009436528019965,0.7120647308364351,0.03146123722493875
-4.0725,0.6009436528021226,0.6060983467848571,0.03146123722496762
-4.072,0.5369226036560266,0.4047622170866759,0.0208781598141185
-4.0715,0.4622313796523161,0.2140227257938355,0.010295082403279
-4.071,0.3875401556480718,0.108056341742248,-0.0002879950075893773
-4.0705,-0.04993701351651855,0.3941655786815084,-0.01087107241842888
-4.07,-0.8181896032689699,0.4259554938969818,-0.03203722724010788
-4.0695,-1.479740444446361,-0.2734226408446952,-0.05320338206182537
-4.069,-1.885207089037933,-0.9939940523954253,-0.05320338206182537
-4.0685,-1.725154466172693,-1.280103289334946,-0.03203722724012713
-4.068,-1.03159310042273,-0.9410108603691352,-0.021454149829278
-4.0675,-0.3807124341046804,-0.4429688553267188,-0.021454149829278
-4.067,0.07810508477567314,-0.01910331912002144,-0.021454149829278
-4.0665,0.3341892813601536,0.2564092794144667,-0.03203722724012713
-4.066,0.4408910299368829,0.4047622170866759,-0.03203722724012713
-4.0655,0.4729015545099309,0.4789386859228479,-0.03203722724012713
-4.065,0.451561204794585,0.4895353243280057,-0.05320338206180612
-4.0645,0.4195506802215176,0.4895353243280153,-0.09553569170522189
-4.064,0.408880505363835,0.4789386859228479,-0.106118769116071
-4.0635,0.3875401556484891,0.4577454091125323,-0.09553569170523152
-4.063,0.3875401556485959,0.4471487707071818,-0.08495261429435351
-4.0625,0.5262524287983441,0.2670059178194992,-0.0637864594726745
-4.062,0.7930068002401673,-0.3899856633002841,-0.053203382061835
-4.0615,0.1741366584940114,-1.152943628473457,-0.05320338206180612
-4.061,-0.7114878546928423,-1.725162102351978,-0.03203722724012713
-4.0605,-0.9355615267041777,-1.449649503817625,-0.01087107241842888
-4.06,-0.5727755815425896,-0.8032545611018718,-0.01087107241842888
-4.0595,-0.156638762093345,-0.2098428104130352,-0.01087107241842888
-4.059,0.1634664836371343,0.2034260873884947,-0.01087107241842888
-4.0585,0.3448594562175742,0.4365521323019661,-0.02145414982926837
-4.058,0.4195506802215176,0.5107286011383502,-0.021454149829278
-4.0575,0.4408910299368829,0.5001319627331828,-0.021454149829278
-4.057,0.4195506802215371,0.4471487707073938,-0.0108710724184385
-4.0565,0.3341892813600565,0.5743084315693548,0.03146123722496762
-4.056,0.291508581929326,0.55311515475902,0.03146123722496762
-4.0555,0.291508581929326,0.3835689402764952,0.03146123722496762
-4.055,0.3235191065023933,0.2140227257935464,0.02087815981410887
-4.0545,0.3448594562177392,0.08686306493165288,0.01029508240326937
-4.054,0.1207857842066075,0.1398462569574419,-0.01087107241840963
-4.0535,-0.5941159312589932,-0.1992461720084943,-0.03203722724013675
-4.053,-1.319687821580753,-0.8880276683437509,-0.04262030465097626
-4.0525,-1.725154466172693,-1.333086481360783,-0.03203722724012713
-4.052,-1.735824641029823,-0.8456411147226283,-0.021454149829278
-4.0515,-1.127624674142465,-0.3475991096802118,-0.021454149829278
-4.051,-0.4874141826815069,-0.04029659593035631,-0.021454149829278
-4.0505,0.003413860771448229,0.1292496185521684,-0.0320372272401175
-4.05,0.291508581929326,0.2246193641988295,-0.03203722724012713
-4.0495,0.4302208550792003,0.2670059178194992,-0.03203722724012713
-4.049,0.4622313796522191,0.3093924714401304,-0.03203722724012713
-4.0485,0.4515612047945461,0.3517790250608772,-0.03203722724017526
-4.048,0.4302208550792003,0.3941655786815084,-0.08495261429437276
-4.0475,0.4088805053638545,0.4365521323021396,-0.09553569170521226
-4.047,0.3982103305061427,0.4789386859228864,-0.1061187691160518
-4.0465,0.3875401556484697,0.5213252395435176,-0.08495261429437276
-4.046,0.4408910299368344,0.5001319627332022,-0.07436953688353326
-4.0455,0.8036769750977822,0.0126865960948255,-0.05320338206182537
-4.045,0.4622313796522482,-0.7078848154559045,-0.05320338206182537
-4.0445,-0.4340633083930936,-1.301296566145281,-0.04262030465097626
-4.044,-0.9142211769885408,-1.290699927739564,-0.01087107241842888
-4.0435,-0.6154562809736985,-0.6866915386455698,-0.01087107241842888
-4.043,-0.1673089369510276,-0.1462629799820306,-0.01087107241842888
-4.0425,0.1741366584945064,0.2458126410088078,-0.01087107241842888
-4.042,0.3555296310754218,0.5001319627331828,-0.021454149829278
-4.0415,0.4408910299368829,0.6060983467848571,-0.021454149829278
-4.041,0.4515612047945559,0.6060983467848571,-0.021454149829278
-4.0405,0.4302208550792683,0.542518516353891,-0.0214541498292395
-4.04,0.5049120790829789,0.5849050699745222,0.0208781598141185
-4.0395,0.5689331282290164,0.59550170837968,0.0420443146357975
-4.039,0.5369226036559781,0.4365521323020047,0.03146123722496762
-4.0385,0.4835717293676135,0.2458126410091644,0.03146123722496762
-4.038,0.4195506802215759,0.09745970333695522,0.01029508240328863
-4.0375,0.3128489316441769,0.07626642652683241,-0.0002879950075990025
-4.037,-0.2526703358124887,0.457745409112513,-0.021454149829278
-4.0365,-1.031593100423322,0.2458126410091644,-0.04262030465097626
-4.036,-1.565101843307658,-0.4747587705422692,-0.04262030465096663
-4.0355,-1.789175515318789,-0.5277419625680583,-0.03203722724012713
-4.035,-1.341028171296118,-0.2310360872233701,-0.021454149829278
-4.0345,-0.6794773301203959,-0.05089323433568757,-0.0320372272401175
-4.034,-0.1352984123779797,0.05507314971615059,-0.03203722724012713
-4.0335,0.2168173579255475,0.1292496185523226,-0.03203722724012713
-4.033,0.3982103305059874,0.1822328105781116,-0.03203722724012713
-4.0325,0.4622313796522482,0.2458126410092222,-0.03203722724012713
-4.032,0.4622313796522482,0.309392471440169,-0.03203722724012713
-4.0315,0.4408910299369024,0.3835689402762736,-0.06378645947264563
-4.031,0.4088805053638253,0.4471487707074034,-0.09553569170523152
-4.0305,0.3982103305061524,0.5107286011383502,-0.106118769116071
-4.03,0.3875401556484794,0.574308431569297,-0.09553569170523152
-4.0295,0.3875401556486735,0.6060983467845968,-0.074369536883514
-4.029,0.6116138276598051,0.3199891098453364,-0.0637864594726745
-4.0285,0.3768699807907871,-0.3687923864905467,-0.05320338206182537
-4.028,-0.4447334832513877,-1.015187329206059,-0.0532033820617965
-4.0275,-1.116954499284783,-1.34368311976595,-0.021454149829278
-4.027,-0.9889124009925911,-0.9939940523954253,-0.01087107241842888
-4.0265,-0.5087545323973088,-0.3264058328704842,-0.01087107241842888
-4.026,-0.06060718837420119,0.2034260873884947,-0.01087107241842888
-4.0255,0.2381577076409128,0.5107286011383502,-0.021454149829278
-4.025,0.3982103305060068,0.6484849004054016,-0.021454149829278
-4.0245,0.4408910299368829,0.6696781772158038,-0.021454149829278
-4.024,0.4408910299368829,0.6060983467848571,-0.021454149829278
-4.0235,0.4942419042252476,0.5637117931642259,0.0102950824032405
-4.023,0.6649647019482087,0.6272916235950571,0.03146123722496762
-4.0225,0.6542945270905358,0.4789386859228479,0.03146123722496762
-4.022,0.5796033030868253,0.2564092794145342,0.03146123722496762
-4.0215,0.4835717293675358,0.05507314971605421,0.01029508240325975
-4.021,0.3982103305061524,-0.05089323433552374,-0.000287995007579752
-4.0205,-0.08194753808956648,0.2776025562246667,-0.01087107241842888
-4.02,-0.8715404775587224,0.2140227257930164,-0.03203722724013675
-4.0195,-1.575772018165136,-0.4959520473525559,-0.04262030465097626
-4.019,-2.002579012472442,-0.8032545611024114,-0.04262030465097626
-4.0185,-1.725154466172945,-0.4323722169218887,-0.02145414982929725
-4.018,-0.9782422261349084,-0.1568596183871981,-0.021454149829278
-4.0175,-0.3273615598162672,0.002089957690313421,-0.03203722724012713
-4.017,0.1207857842059962,0.09745970333673358,-0.03203722724012713
-4.0165,0.3555296310755091,0.1504428953627057,-0.03203722724012713
-4.016,0.4515612047945656,0.2034260873884947,-0.03203722724012713
-4.0155,0.4729015545099114,0.2564092794142836,-0.03203722724012713
-4.015,0.4515612047945461,0.3199891098453942,-0.04262030465101476
-4.0145,0.4302208550792003,0.383568940276341,-0.08495261429437276
-4.014,0.3982103305061815,0.4471487707072878,-0.09553569170521226
-4.0135,0.3875401556484697,0.500131962733231,-0.09553569170520264
-4.013,0.3875401556484697,0.55311515475902,-0.07436953688352363
-4.0125,0.5475927785137094,0.4365521323021782,-0.0637864594726745
-4.012,1.059761171682253,-0.1780528951981594,-0.05320338206182537
-4.0115,0.8143471499557753,-0.8668343915334161,-0.05320338206182537
-4.011,-0.09261771294724913,-1.34368311976595,-0.03203722724012713
-4.0105,-0.5087545323964936,-1.258910012524688,-0.02145414982928762
-4.01,-0.2953510352432193,-0.8880276683437509,-0.01087107241842888
-4.0095,0.00341386077189465,-0.2946159176543747,-0.01087107241842888
-4.009,0.2381577076406993,0.2352160026035152,-0.01087107241842888
-4.0085,0.3768699807908259,0.5637117931643126,-0.0108710724184385
-4.008,0.4195506802215176,0.701468092431364,-0.021454149829278
-4.0075,0.4302208550791906,0.701468092431364,-0.021454149829278
-4.007,0.430220855079375,0.6272916235952787,-0.01087107241839038
-4.0065,0.6222840025174878,0.7226613692416989,0.03146123722496762
-4.006,0.6863050516635838,0.6484849004055269,0.03146123722496762
-4.0055,0.6222840025174005,0.4259554938968083,0.031461237224958
-4.005,0.5262524287983441,0.2034260873884947,0.0208781598141185
-4.0045,0.4408910299368829,0.01268659609548085,-0.000287995007579752
-4.004,0.1954770082095417,0.1080563417423347,-0.0108710724184385
-4.0035,-0.5087545323968721,0.4895353243280153,-0.021454149829278
-4.003,-1.277007122150022,0.04447651131098315,-0.04262030465097626
-4.0025,-1.927887788468071,-0.6125150698088001,-0.04262030465097626
-4.002,-2.098610586191586,-0.4535654937318862,-0.03203722724012713
-4.0015,-1.383708870726849,-0.1886495336027004,-0.021454149829278
-4.001,-0.6261264558320703,-0.05089323433564902,-0.0320372272401175
-4.0005,-0.07127736323157328,0.03387987290585427,-0.03203722724012713
-4,0.2701682322139607,0.07626642652648545,-0.03203722724012713
-3.9995,0.4302208550792003,0.1292496185523226,-0.03203722724012713
-3.999,0.4729015545099309,0.1822328105781598,-0.03203722724012713
-3.9985,0.4622313796522482,0.2458126410091644,-0.03203722724012713
-3.998,0.4408910299368829,0.309392471440169,-0.08495261429437276
-3.9975,0.408880505363835,0.3729723018711736,-0.09553569170522189
-3.997,0.3875401556484697,0.4471487707073456,-0.106118769116071
-3.9965,0.3875401556484697,0.5001319627331828,-0.08495261429437276
-3.996,0.4302208550792003,0.5107286011383502,-0.07436953688352363
-3.9955,0.8143471499557753,0.05507314971615059,-0.05320338206182537
-3.995,0.707645401378949,-0.6443049850249,-0.05320338206182537
-3.9945,-0.08194753808956648,-1.216523458903942,-0.04262030465097626
-3.994,-0.5514352318276028,-1.174136905283272,-0.01087107241842888
-3.9935,-0.3166913849585846,-0.5807251545938954,-0.01087107241842888
-3.993,0.04609456020262521,-0.1356663415768632,-0.01087107241842888
-3.9925,0.291508581929326,0.2140227257936621,-0.021454149829278
-3.992,0.408880505363835,0.4259554938970107,-0.021454149829278
-3.9915,0.4515612047945656,0.5319218779486851,-0.021454149829278
-3.991,0.4408910299368829,0.55311515475902,-0.021454149829278
-3.9905,0.408880505363835,0.5107286011383502,-0.021454149829278
-3.99,0.4302208550792003,0.5001319627331828,0.0208781598141185
-3.9895,0.4408910299368829,0.4895353243280153,0.03146123722496762
-3.989,0.4302208550792003,0.3729723018711736,0.03146123722496762
-3.9885,0.3982103305061524,0.2458126410091644,0.0208781598141185
-3.988,0.3768699807907871,0.1292496185523226,0.01029508240326937
-3.9875,0.2808384070716433,0.1504428953626575,-0.000287995007579752
-3.987,-0.274010685527854,0.5955017083796896,-0.021454149829278
-3.9865,-1.042263275281004,0.4047622170866759,-0.04262030465097626
-3.986,-1.629122892453549,-0.3687923864905467,-0.05320338206182537
-3.9855,-1.863866739322568,-0.8562377531282487,-0.05320338206182537
-3.985,-1.458400094730627,-0.8986243067489184,-0.03203722724012713
-3.9845,-0.7755089038389382,-0.5595318777835605,-0.021454149829278
