#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151A2B84A
#Date Time: 2021-02-07 16:05:51.844
#Sample rate: 2000Hz
#Samples: 16384
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Power Supplies: ON
#Fixed Supply: ON
#Voltage: 3.3 V Readback: 3.331 V
#Positive Supply: ON
#Voltage: 3.7 V Readback: 3.703 V
#Current: 40 mA Readback: 16 mA
#Negative Supply: ON
#Voltage: -3.7 V Readback: -3.697 V
#Current: -40 mA Readback: -9 mA
#Reference 1: ON
#Voltage: 0 V
#Reference 2: ON
#Voltage: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-4.096,-0.6688071552621118,0.1186529801471552
-4.0955,-1.074273799853683,-0.2204394488178942
-4.095,-1.618452717596061,-0.9939940523956565
-4.0945,-1.83185621474952,-1.248313374119443
-4.094,-1.458400094730967,-0.9939940523956565
-4.0935,-0.9462317015614916,-0.6654982618350036
-4.093,-0.5407650569699201,-0.4111789401112165
-4.0925,-0.2846808603857696,-0.2628260024390073
-4.092,-0.1673089369509888,-0.1886495336026618
-4.0915,-0.124628237520297,-0.1462629799820306
-4.091,-0.124628237520297,-0.1356663415768632
-4.0905,-0.145968587235672,-0.1144730647664898
-4.09,-0.156638762093345,-0.07208651114585861
-4.0895,-0.1779791118087102,-0.04029659593035631
-4.089,-0.1779791118087102,-0.008506680714882926
-4.0885,-0.1779791118087102,0.02328323450064829
-4.088,-0.4340633083930936,-0.2098428104130352
-4.0875,-0.9462317015613946,-0.845641114722503
-4.087,-1.319687821580733,-1.502632695843713
-4.0865,-1.298347471865388,-1.778145294377815
-4.086,-0.7328282044087219,-1.576809164679817
-4.0855,-0.04993701351609155,-1.237716735713852
-4.085,0.4195506802215176,-0.7714646458869092
-4.0845,0.6009436528019576,-0.209842810413546
-4.084,0.5369226036558616,0.3199891098456641
-4.0835,0.3555296310754218,0.6802748156210291
-4.083,0.1527963087794516,0.8180311148882058
-4.0825,0.06743490991795169,0.8180311148881673
-4.082,0.02475421048725994,0.775644561267536
-4.0815,0.02475421048725994,0.6908714540261965
-4.081,-0.01792648894343181,0.5743084315694609
-4.0805,-0.07127736323188383,0.4365521323021782
-4.08,-0.1993194615240755,0.309392471440169
-4.0795,-0.7434983792653953,0.5001319627330094
-4.079,-1.415719395300334,0.5637117931634645
-4.0785,-1.895877263895616,-0.2310360872233701
-4.078,-1.959898313041653,-0.8880276683431534
-4.0775,-1.511750969018536,-0.8562377531279981
-4.077,-0.9569018764195432,-0.5807251545938954
-4.0765,-0.5194247072549527,-0.3158091944649505
-4.076,-0.2633405106700549,-0.1356663415767765
-4.0755,-0.1352984123779797,-0.04029659593035631
-4.075,-0.1032878878049318,0.002089957690313421
