#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151A2B84A
#Date Time: 2021-01-27 15:18:20.398
#Sample rate: 2000Hz
#Samples: 16384
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Channel 4: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Power Supplies: ON
#Fixed Supply: ON
#Voltage: 3.3 V Readback: 3.331 V
#Positive Supply: ON
#Voltage: 3.7 V Readback: 3.762 V
#Current: 40 mA Readback: 18 mA
#Negative Supply: ON
#Voltage: -3.7 V Readback: -3.348 V
#Current: -40 mA Readback: -13 mA
#Reference 1: ON
#Voltage: 0 V
#Reference 2: ON
#Voltage: 0 V

Time (s),Channel 1 (V),Channel 2 (V),Channel 4 (V)
-4.096,-0.03926683865883591,0.775644561267536,-0.09553569170522189
-4.0955,-0.04993701351650885,0.7544512844572204,-0.08495261429438239
-4.095,0.1314559590646589,0.5531151547584321,-0.0637864594726745
-4.0945,0.7609962756673623,-0.09327978795619347,-0.0637864594726745
-4.094,1.326515543124028,-0.8138511995069235,-0.053203382061835
-4.0935,1.635950613997397,-1.333086481360754,-0.0320372272401175
-4.093,1.699971663143435,-1.301296566145281,-0.021454149829278
-4.0925,1.539919040278341,-0.8880276683441268,-0.021454149829278
-4.092,1.251824319120492,-0.4429688553264393,-0.03203722724012713
-4.0915,0.9530594231056497,-0.1356663415768632,-0.03203722724012713
-4.091,0.6542945270905358,0.01268659609548085,-0.03203722724012713
-4.0905,0.387540155648295,0.0444765113109446,-0.03203722724012713
-4.09,0.1954770082101822,0.002089957690313421,-0.03203722724012713
-4.0895,0.1101156093487211,-0.08268314955102604,-0.021454149829278
-4.089,0.1634664836370858,-0.1568596183871306,0.02087815981408
-4.0885,0.142126133921769,-0.2204394488182027,0.0208781598141185
-4.088,0.07810508477567314,-0.2734226408440398,0.01029508240326937
-4.0875,0.01408403562963552,-0.2734226408440398,-0.000287995007570126
-4.087,-0.06060718837450203,-0.2310360872230617,-0.01087107241844813
-4.0865,-0.391382608962363,0.1080563417419877,-0.03203722724012713
-4.086,-1.052933450138085,0.7862411996720866,-0.03203722724012713
-4.0855,-1.703814116457842,1.390249588767459,-0.04262030465099551
-4.085,-2.269333383914508,1.623375633680931,-0.0637864594726745
-4.0845,-2.472066706210294,0.9557874141559896,-0.074369536883514
-4.084,-1.885207089037234,0.2670059178192968,-0.05320338206181575
-4.0835,-1.116954499284783,0.04447651131098315,-0.04262030465097626
-4.083,-0.5514352318276028,0.08686306493165288,-0.04262030465097626
-4.0825,-0.1886492866662376,0.2458126410093475,-0.04262030465097626
-4.082,-0.01792648894347063,0.4471487707073456,-0.04262030465097626
-4.0815,0.04609456020262521,0.627291623595192,-0.04262030465097626
-4.081,0.03542438534495228,0.7650479228622433,-0.05320338206181575
-4.0805,0.01408403562957729,0.8816109453192104,-0.09553569170522189
-4.08,-0.007256314085787988,0.9557874141553824,-0.106118769116071
-4.0795,-0.02859666380113387,0.976980690965698,-0.106118769116071
-4.079,-0.02859666380106594,0.9451907757500992,-0.08495261429436313
-4.0785,0.0674349099179905,0.8180311148882058,-0.07436953688352363
-4.078,0.5475927785132726,0.2776025562251582,-0.06378645947268413
-4.0775,0.8250173248133804,-0.4429688553272584,-0.05320338206181575
-4.077,0.7396559259519968,-1.036380606016095,-0.04262030465097626
-4.0765,0.7503261008096699,-1.036380606016095,-0.02145414982929725
-4.076,0.8783681991019294,-0.3264058328694819,-0.02145414982928762
-4.0755,0.942389248247967,0.1080563417419877,-0.03203722724012713
-4.075,0.8997085488172365,0.1928294489833272,-0.03203722724012713
-4.0745,0.7396559259517833,0.0974597033366854,-0.03203722724012713
-4.074,0.5049120790829789,-0.05089323433552374,-0.03203722724012713
-4.0735,0.3128489316446912,-0.1144730647665284,-0.03203722724012713
-4.073,0.1527963087795972,-0.1992461720077907,-0.03203722724012713
-4.0725,0.1527963087794516,-0.3052125560595421,0.01029508240326937
-4.072,0.142126133921769,-0.3899856633008816,0.0208781598141185
-4.0715,0.0887752596334043,-0.4111789401111972,0.010295082403279
-4.071,0.02475421048721141,-0.4005823017060105,0.01029508240325012
-4.0705,-0.02859666380115328,-0.3581957480853793,-0.01087107241842888
-4.07,-0.2313299860969391,-0.2204394488183279,-0.02145414982926837
-4.0695,-0.8288597781278755,0.3411823866562784,-0.03203722724012713
-4.069,-1.405049220442214,1.00877060618122,-0.03203722724012713
-4.0685,-1.895877263895616,1.347863035146577,-0.05320338206182537
-4.068,-2.354694782775989,1.019367244585626,-0.074369536883514
-4.0675,-2.376035132491334,0.1822328105781598,-0.0637864594726745
-4.067,-1.629122892453549,-0.1356663415768632,-0.04262030465097626
-4.0665,-0.9248913518460293,-0.06148987274046951,-0.04262030465096663
-4.066,-0.4127229586777283,0.1822328105781598,-0.03203722724012713
-4.0655,-0.1139580626626144,0.4471487707073456,-0.04262030465097626
-4.065,0.01408403562946084,0.6590815388105015,-0.04262030465097626
-4.0645,0.04609456020262521,0.8286277532933731,-0.04262030465097626
-4.064,0.03542438534494258,0.9345941373450475,-0.08495261429437276
-4.0635,0.0140840356295967,0.9981739677759942,-0.1061187691160518
-4.063,-0.0179264889434124,1.008770606181075,-0.1061187691160614
-4.0625,0.04609456020262521,0.849821030103708,-0.09553569170522189
-4.062,0.2915085819291028,0.4683420475180274,-0.08495261429438239
